track_uri,track_name,artist_uri,artist_name,album_uri,album_name,words,count
spotify:track:1HZ3cUZUw5htSFmah1V8Ko,Shine,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul,spotify:album:3uSVy9q97sAzd5UE0dMdOT,"Hints, Allegations & Things Left Unsaid","[awesom, playlist, old, song, playlist]",1
spotify:track:3H1LCvO3fVsK2HPguhbml0,Forever,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown,spotify:album:1UtE4zAlSE2TlKmTFgrTg5,Exclusive - The Forever Edition,"[throwback, new, song, playlist]",1
spotify:track:6UGHk2cmbDC1oidVjXcCKo,Red Barchetta,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Moving Pictures,"[awesom, playlist, old, song, playlist]",1
spotify:track:1X5WGCrUMuwRFuYU1eAo2I,Livin on Sunday,spotify:artist:7vWBZm3sQ8yQvfV4nXxHXK,Cris Cab,spotify:album:2kNznk4KDkYXifzOAUDoXN,Red Road,"[throwback, new, song, playlist]",1
spotify:track:1b7vg5T9YKR3NNqXfBYRF7,Check Yes Juliet,spotify:artist:3ao3jf5d70Tf4fPh2bnXVl,We The Kings,spotify:album:2F1hfUOuMnOxtSfrktL8VX,We The Kings,"[throwback, new, song, playlist]",1
spotify:track:68vgtRHr7iZHpzGpon6Jlo,My Boo,spotify:artist:23zg3TcAtWQy7J6upgbUnj,Usher,spotify:album:1RM6MGv6bcl6NrAG8PGoZk,Confessions,"[throwback, new, song, playlist]",1
spotify:track:1Pm3fq1SC6lUlNVBGZi3Em,Concerning Hobbits (The Lord of the Rings),spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell,spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,Versus Hollywood,"[awesom, playlist, old, song, playlist]",1
spotify:track:7dkbEHIMLoeuG4zXGmzhEH,U.N. Owen Was Her? (Remix),spotify:artist:6BKWwLs98ZY3ifhCDNGvLk,Kaleptik,spotify:album:38tJMNu2lPatR7xnPchOOB,"Video Game Remixes, Vol. 1","[awesom, playlist, old, song, playlist]",1
spotify:track:1kusepF3AacIEtUTYrw4GV,Paper Planes,spotify:artist:0QJIPDAEDILuo8AIq3pMuU,M.I.A.,spotify:album:1Lymt1abGCr3J06bbnmWca,Kala,"[throwback, new, song, playlist]",1
spotify:track:6cbBAD1AAYVaQR1cx89AZX,Witch Hunt,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Moving Pictures,"[awesom, playlist, old, song, playlist]",1
spotify:track:3RGlJJFkWEavxeRQr9ivAd,He's a Pirate (Pirates of the Caribbean),spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell,spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,Versus Hollywood,"[awesom, playlist, old, song, playlist]",1
spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,Lil Mama,spotify:album:3vgVsm9GY3i39fZ7b1sqV5,Lip Gloss,"[throwback, new, song, playlist]",1
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix / Club Mix,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,OutKast,spotify:album:1UsmQ3bpJTyK6ygoOOjG1r,Speakerboxxx/The Love Below,"[throwback, new, song, playlist]",1
spotify:track:1Bv0Yl01xBDZD4OQP93fyl,Ice Box,spotify:artist:0f5nVCcR06GX8Qikz0COtT,Omarion,spotify:album:4cVVEOXyUaWo7vlDWIkKsI,21,"[throwback, new, song, playlist]",1
spotify:track:1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen,spotify:album:1TSZDcvlPtAnekTaItI3qO,A Night At The Opera,"[awesom, playlist, old, song, playlist]",1
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,spotify:artist:3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,spotify:album:31q47gQszFt0CddSyMksgO,Willy And The Poor Boys,"[awesom, playlist, old, song, playlist]",1
spotify:track:5CQ30WqJwcep0pYcV4AMNc,Stairway To Heaven,spotify:artist:36QJpDe2go2KgaRleHCDTp,Led Zeppelin,spotify:album:44Ig8dzqOkvkGDzaUof9lK,Led Zeppelin IV,"[awesom, playlist, old, song, playlist]",1
spotify:track:2nbClS09zsIAqNkshg6jnp,Closer,spotify:artist:21E3waRsmPlU7jZsS13rcj,Ne-Yo,spotify:album:1nv3KEXZPmcwOXMoLTs1vn,Year Of The Gentleman,"[throwback, new, song, playlist]",1
spotify:track:1MYYt7h6amcrauCOoso3Gx,Libera Me From Hell (Tengen Toppa Gurren Lagann),spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell,spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,Versus Hollywood,"[awesom, playlist, old, song, playlist]",1
spotify:track:0WqIKmW4BTrj3eJFmnCKMv,Crazy In Love,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,spotify:album:25hVFAxTlDvXbx2X2QkUkE,Dangerously In Love (Alben für die Ewigkeit),"[throwback, new, song, playlist]",1
spotify:track:34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,spotify:artist:21E3waRsmPlU7jZsS13rcj,Ne-Yo,spotify:album:6dTn9vJSxVTIGm4Cu5dH4x,Year Of The Gentleman,"[throwback, new, song, playlist]",1
spotify:track:0hBby0yygBY1u3m6tSpZgC,The Camera Eye,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Moving Pictures,"[awesom, playlist, old, song, playlist]",1
spotify:track:4Y45aqo9QMa57rDsAJv40A,Right Where You Want Me - Radio Edit Version,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,spotify:album:6022khQj4Fsvvse8f3A4lF,Right Where You Want Me,"[throwback, new, song, playlist]",1
spotify:track:67T6l4q3zVjC5nZZPXByU8,Whatcha Say,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,spotify:album:0aVJmVAeEx78nAA1rAKYf7,Jason Derulo,"[throwback, new, song, playlist]",1
spotify:track:1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,spotify:album:2gidE8vgVOkYufANjuvj3S,Beautiful Soul,"[throwback, new, song, playlist]",1
spotify:track:1TfAhjzRBWzYZ8IdUV3igl,Year 3000,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,spotify:album:20RAjvZ9LX2FDuDU8RDuIl,Jonas Brothers,"[throwback, new, song, playlist]",1
spotify:track:0XUfyU2QviPAs6bxSpXYG4,Yeah!,spotify:artist:23zg3TcAtWQy7J6upgbUnj,Usher,spotify:album:0vO0b1AvY49CPQyVisJLj0,Confessions,"[throwback, new, song, playlist]",1
spotify:track:3lpDrxUkr0tIe1kmJvdK7d,YYZ,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Moving Pictures,"[awesom, playlist, old, song, playlist]",1
spotify:track:5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,spotify:album:3PWEGZ6CYvXRnr0JCECsDe,Move Along,"[throwback, new, song, playlist]",1
spotify:track:4aVuWgvD0X63hcOCnZtNFA,Hold the Line,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,Toto,spotify:album:1mnu4hYvdwQgZXcNvtJ3D3,Toto,"[awesom, playlist, old, song, playlist]",1
spotify:track:1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,"[awesom, playlist, old, song, playlist]",1
spotify:track:7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,spotify:album:3I9Z1nDCL4E0cP62flcbI5,Appetite For Destruction,"[awesom, playlist, old, song, playlist]",1
spotify:track:5EWPGh7jbTNO2wakv8LjUI,Free Bird,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,spotify:album:6DExt1eX4lflLacVjHHbOs,Pronounced' Leh-'Nerd 'Skin-'Nerd,"[awesom, playlist, old, song, playlist]",1
spotify:track:6MjljecHzHelUDismyKkba,Everytime We Touch - Radio Edit,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,Cascada,spotify:album:5DvuKZTzEKjm0oUuhP237C,Everytime We Touch,"[throwback, new, song, playlist]",1
spotify:track:1AWQoqb9bSvzTjaLralEkT,Rock Your Body,spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:album:6QPkyl04rXwTGlGlcYaRoW,Justified,"[throwback, new, song, playlist]",1
spotify:track:1dv3ePjze9tPq2pk8eWJdR,Gimme Shelter,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:album:0c78nsgqX6VfniSNWIxwoD,Let It Bleed,"[awesom, playlist, old, song, playlist]",1
spotify:track:7xYnUQigPoIDAMPVK79NEq,Run It!,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown,spotify:album:49gaz5rhWWgqCw61M9700v,Chris Brown,"[throwback, new, song, playlist]",1
spotify:track:6Vz7vzOpCwKeSQlfViibuY,Crazy,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,Seal,spotify:album:3NehJpD5x3MUtpl8jDTHaa,Best 1991 - 2004,"[awesom, playlist, old, song, playlist]",1
spotify:track:6GIrIt2M39wEGwjCQjGChX,The Great Escape,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,Boys Like Girls,spotify:album:4WqgusSAgXkrjbXzqdBY68,Boys Like Girls,"[throwback, new, song, playlist, throwback, new, song, playlist]",2
spotify:track:0e9hR1vTrzlUvFH5PgA9rY,Very Bloody Tears (Castlevania II: Simon's Quest),spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell,spotify:album:60wUpRwDRF1jmViHaW2yu4,Versus Video Games,"[awesom, playlist, old, song, playlist]",1
spotify:track:4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,spotify:album:5rtOJsiDDjA9V5306cyTRS,Second Helping,"[awesom, playlist, old, song, playlist]",1
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:64aKkqxc3Ur2LYIKeS5osS,The Time Of Our Lives,"[throwback, new, song, playlist]",1
spotify:track:5c1sfI6wIQEsSUw0xrkFdl,This Is Me,spotify:artist:6S2OmqARrzebs0tKUEyXyp,Demi Lovato,spotify:album:6vykWEBzBfEKYJxEFR1AQl,Camp Rock Original Soundtrack,"[throwback, new, song, playlist]",1
spotify:track:1NXTEkIeRL59NK61QuhYUl,The Blood of Cuchulainn (The Boondock Saints),spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell,spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,Versus Hollywood,"[awesom, playlist, old, song, playlist]",1
spotify:track:4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,Kansas,spotify:album:7MejfRSNnrpcLZIxkeZDqR,Leftoverture,"[awesom, playlist, old, song, playlist]",1
spotify:track:19Js5ypV6JKn4DMExHQbGc,Stacy's Mom,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,spotify:album:3Q7xpHmP8k3HryE0LQdIk0,I've Never Done Anything Like This,"[throwback, new, song, playlist]",1
spotify:track:4I2GqMe7L2ccMpUbnDzYLH,Somebody To Love,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,spotify:album:6gdLfnf2vdNlMTyhJHaDLs,My Worlds,"[throwback, new, song, playlist]",1
spotify:track:3jkdQNkDTxxXtjSO4l0o1H,How Do You Sleep? - Featuring Ludacris,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,spotify:album:2tDCfKFy2YW9N0IwNSRdOJ,Departure - Recharged,"[throwback, new, song, playlist]",1
spotify:track:43pmQcgxMMhJu1gPW2ZdNz,Ghost Love Score,spotify:artist:2NPduAUeLVsfIauhRwuft1,Nightwish,spotify:album:7pYmXPG9Wj5nvC5jFM0yEW,Once,"[awesom, playlist, old, song, playlist]",1
spotify:track:3x2mJ2bjCIU70NrH49CtYR,Pokémon Theme,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell,spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,Versus Hollywood,"[awesom, playlist, old, song, playlist]",1
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,Toxic,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:0z7pVBGOD7HCIB7S8eLkLI,In The Zone,"[throwback, new, song, playlist, awesom, playlist, old, song, playlist]",2
spotify:track:3BxWKCI06eQ5Od8TY2JBeA,Buttons,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,spotify:album:5x8e8UcCeOgrOzSnDGuPye,PCD,"[throwback, new, song, playlist]",1
spotify:track:7H6ev70Weq6DdpZyyTmUXk,Say My Name,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,spotify:album:283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall,"[throwback, new, song, playlist]",1
spotify:track:6sqNctd7MlJoKDOxPVCAvU,My Happy Ending,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,spotify:album:7851Vsjv3apS52sXUik6iF,Under My Skin,"[throwback, new, song, playlist]",1
spotify:track:12qZHAeOyTf93YAWvGDTat,All The Small Things,spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182,spotify:album:1fF8kYX49s5Ufv4XEY5sjW,Enema Of The State,"[throwback, new, song, playlist]",1
spotify:track:4cxvludVmQxryrnx1m9FqL,My Shot,spotify:artist:4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,spotify:album:1kCHru7uhxBUdzkm4gzRQc,Hamilton,"[awesom, playlist, old, song, playlist]",1
spotify:track:6MpMuAuLzFFfwB8QzWL1iZ,The Majestic Tale (Of A Madman In A Box),spotify:artist:6Gp8BbKAqPO3R0UAYkm8J0,Ben Foster,spotify:album:2t34tkX7TR5rYKMu3WYO0z,Doctor Who: Series 6 (Original Television Soundtrack),"[awesom, playlist, old, song, playlist]",1
spotify:track:4omisSlTk6Dsq2iQD7MA07,Sk8er Boi,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,spotify:album:7h6XeTzy0SRXDrFJeA9gO7,Let Go,"[throwback, new, song, playlist]",1
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor,spotify:album:4PT9VulQaQP6XR1xBI2x1W,Eye Of The Tiger,"[awesom, playlist, old, song, playlist]",1
spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),spotify:artist:2wIVse2owClT7go1WT98tk,Missy Elliott,spotify:album:6vV5UrXcfyQD1wu4Qo2I9K,The Cookbook,"[throwback, new, song, playlist, awesom, playlist, old, song, playlist]",2
spotify:track:0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane,spotify:artist:27T030eWyCQRmDyuvr1kxY,Scorpions,spotify:album:6d4dgGamepehj0WwsYXTKi,Love At First Sting,"[awesom, playlist, old, song, playlist]",1
spotify:track:2TK2KSrzXD6W01qjXVjNGh,The Room Where It Happens,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,spotify:album:1kCHru7uhxBUdzkm4gzRQc,Hamilton,"[awesom, playlist, old, song, playlist]",1
spotify:track:1GqlvSEtMx5xbGptxOTTyk,Peace of Mind,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,"[awesom, playlist, old, song, playlist]",1
